,_id,Name,Sell,Shadow,Total Catches to Unlock,Spawn Rates,Size,Surface,Description,Catch phrase,HHA Base Points,HHA Category,Color 1,Color 2,Lighting Type,Icon Filename
11,32.0,mantis shrimp,2500.0,Small,20.0,2–8,1x1,Yes,"Think carefully before you mock the mantis shrimp for its diminutive size. I warn you, it's itching for a fight! A pugilist through and through, this brightly hued fellow packs a punch unparalleled on land or sea. Not only are its forelimbs shaped like clubs and scythes, its arms are naturally spring-loaded too! Thus the mantis shrimp's high-speed blows crack open crabs and oyster shells with ease. And should you grab it with your hands, you might discover why it's called ""the thumb splitter"" too!",I got a mantis shrimp! Shrimply amazing!,0.0,Pet,None,None,Fluorescent,Shako
12,9.0,moon jellyfish,600.0,Small,0.0,4–12,1x1,Yes,"Ah, the moon jellyfish...what's not to love about this pretty floating flower of the sea... Well, I suppose its tentacles do give a sting when touched...but it's only a mild thing to the likes of us. Other creatures may not be so fond of this translucent beauty. Though who can blame them, really? Moon jellyfish have stinging cells called cnidocytes that kill fish and other small critters that float by. And they use their ""oral arms"" to pull these morsels into their mouths and stomachs. Indeed, one need but observe the moon jellyfish to see how brutal AND beautiful nature can be.",I got a moon jellyfish! Now to find a sun peanutbutterfish.,0.0,Pet,None,None,Fluorescent,Mizukurage
13,12.0,mussel,1500.0,Small,0.0,3–8,1x1,No,"Did you know the mussel has a beard?! Hoo! It's true! Well, partially true, anyway. Mussels have a special gland that secretes a thing called ""bysuss"" or ""byssal thread."" They use these tough beard-like fibers to anchor themselves to rocks and keep themselves in place. So, you see, the mussel's beard is functional rather than merely stylish. Then again, perhaps all beards should be this way.",I got a mussel! It's been working out,0.0,Pet,None,None,No lighting,Muhrugai
14,20.0,octopus,1200.0,Medium,0.0,2–8,1x1,Yes,"With its eight limbs, three hearts, and surprisingly big brain, the octopus is quite the wonder. It is also an escape artist like no other! You see, the octopus has specialized skin cells that can change color and texture with lightening speed. Thus it can look for all the world like a patch of seabed one minute...and a pile of rocks the next! But the deception doesn't stop there, wot wot. When attacked by a predator, the octopus releases a cloud of ink and -POOF- makes its escape. Let's just call the octopus what it is, shall we? The ninja of the deep!",I got an octopus! It can give four hugs at once!,0.0,Pet,None,None,Fluorescent,Tako
15,13.0,oyster,1100.0,Small,0.0,5–12,1x1,No,"Oysters are marvelous mollusks and, in many ways, the social butterflies of the seas. That is, these bivalves tend to live attached to rocks in large groups known as oyster beds. These reef-like structures provide home and habitat for a delightful variety of creatures. Mussels, barnacles, and sea anemones have all been known to set up house. Meanwhile, small fish and crabs hide from predators and even raise their young among the snuggling oysters. With all the hubbub, an oyster bed sounds like the last place one would get some sleep!",I got an oyster! It's a little shellfish.,0.0,Pet,None,None,No lighting,Kaki
16,11.0,pearl oyster,2800.0,Small,20.0,2–4,1x1,No,"Hoo, indeed, hoot! What a splendid pearl oyster! Did you know the famed pearl oyster can live for 40 years and grow up to a foot in size? 'Tis true, hootie-hoo! Of course, this briny bivalve is best known for the precious gems it grows within. The pearl-making process begins when an irritant gains access to the delicate insides of the oyster. The intruder is then covered with layer upon layer of ""nacre,"" the same substance used to create its shell. It takes years for a pearl to form, but in the end, the irritant is rendered harmless. Ahh, if only we all had the power to turn things that annoy us... into things of beauty instead.","I got a pearl oyster! Aw, shucks. Don't clam up now!",0.0,Pet,None,None,No lighting,Akoyagai
17,27.0,red king crab,8000.0,Large,80.0,1–2,2x1,Yes,"The red king crab is a mighty crustacean to be sure. Though it must be said that there is some debate about its royal lineage. King crabs, unlike other crabs, are thought to be descended from hermit crabs, you see. And have you noticed... GASP! They have but eight legs, though conventional crabs have 10! It matters not, I say. For the red king crab is as regal as can be. Weighing up to 20 pounds with a leg span reaching five feet... I bow to this crab's nobility.",I caught a red king crab! It's royally flushed.,0.0,Pet,None,None,Fluorescent,Tarabagani
18,14.0,scallop,1200.0,Medium,5.0,6–8,1x1,Yes,"Ah, the scallop! It just goes to show, you can't keep a good bivalve down. While most members of its family are known for staying put, the scallop is a nimble fellow indeed. When a hungry sea star approaches, the scallop can swim away by clap-clap-clapping its shells together! ""How does a scallop know when a predator approaches?"" you ask. Why, it has 200 eyes to see with! It makes one wonder what else the scallop sees with all those eyes... I fear it sees into my very soul!",I got a scallop! It otter be savored.,0.0,Pet,None,None,Fluorescent,Hotate
19,8.0,sea anemone,500.0,Large,0.0,3–14,1x1,No,"Medusa herself would be impressed by the sea anemone. This pretty predator loves to wave its colorful flowing locks about. But these gorgeous tresses are, in fact, deadly tentacles surrounding a hungry mouth! Triggered by the slightest touch, these tentacles harpoon victims with neurotoxin. The sea anemone then pulls the helpless, hapless prey into its mouth for a spot of lunch! I say, let this be a lesson! Never, ever make an enemy... out of an anemone!",I got a sea anemone! The enemy of my anemone is my afrenome!,0.0,Pet,None,None,Fluorescent,Isogintyaku
20,3.0,sea cucumber,500.0,Medium,0.0,4–12,1x1,Yes,"The sea cucumber, much like its relatives the sea urchin and sea star, has no heart nor brain. However, unlike its relatives, it has no shell nor spikes to with which to protect itself either. So how does a softy such as this stay safe in the open ocean? Brace yourself I say… when threatened sea cucumbers jettison their innards out of their backsides! Hoo! Gross but true! The sticky, stringy stuff ensnares predators, allowing the cuke to make its escape and grow its insides back. One might say…the sea cucumber is a GUTSY creature, indeed. Hoo hoo, hee hee! Do forgive me!",I got a sea cucumber! It's a bit cumbersome,0.0,Pet,None,None,Fluorescent,Namako
21,2.0,sea grapes,900.0,Small,0.0,4–12,1x1,No,"Sea grapes are a marine algae that look much like their landlocked namesake. That is, they are green pearl-like orbs that cluster tightly along underwater vines. And sea grapes, like regular grapes, are a popular snack food too... albeit of the saltier variety. Fans of the briny delicacy enjoy the way the shiny pearls POP when chewed. It makes one wonder whether sea grape juice might have some appeal? 'Twould leave the drinker with sour grapes, I suppose.",I got some sea grapes! Can't let these go sour.,0.0,Pet,None,None,Fluorescent,Umibudou
22,4.0,sea pig,10000.0,Small,80.0,1,1x1,Yes,"Never have I seen a creature that walks the line between creepy and cute quite like the sea pig does. Sea pigs are, in fact, a type of sea cucumber that lives deep down on the ocean floor. About four inches long, these soft pinkish oddities use tube-like legs and feelers to get around. Thus they snuffle through the mud, slurping up particles from decaying carcasses. Meanwhile, predators be warned... This little piggy tastes like poison.",I got a sea pig! What's next? Air pigs?,0.0,Pet,None,None,Fluorescent,Senjunamako
23,37.0,sea pineapple,1500.0,Small,0.0,2–6,1x1,Yes,"Try not to gawk as you look upon the sea pineapple. Its peculiar look is simply one of nature's many jokes. Though it may look like a half-rotten hunk of fruit, the sea pineapple is no plant, shellfish, or even sea slug. It's a tunicate, wot wot...a fancy name for a shallow-water filter feeder with a taste for plankton. It should be noted that the sea pineapple looks like a tadpole when it's young and can still swim about. Alas, its youthful cuteness wears off once it attaches itself for good to a rock. Ah, but let's put insults aside! Sea pineapples are full of water, you sea. And I fear we're asking for a squirt in the eye!","I got a sea pineapple! Your move, sea pizzas.",0.0,Pet,None,None,Fluorescent,Hoya
24,10.0,sea slug,600.0,X-Small,0.0,1–12,1x1,No,"Imagine, if you will, a land slug...but one dressed in frilly attire full of bold colors, stripes, and spots! That is the sea slug, a gastropod that looks ready to walk the red carpet...or perform beneath a big top. But these clowns are no laughing matter, eh wot. Their garish colors and wild patterns warn predators to steer clear of their stinging, toxic taste. And THAT is how you dress for success, as they say!",I got a sea slug! It's kinda salty about that.,0.0,Pet,None,None,Fluorescent,Umiushi
25,5.0,sea star,500.0,Small,0.0,4–10,1x1,No,"The sea star may appear to have five feet...but those are, in fact, its arms. And though five-armed sea stars are the most common, there are species with 20 or even 40 arms out there! Ah, but the fascinating appendage fats do not end there, wot wot! You see upon each sea star's arm sprout many dozens of tiny feet. YES, FEET! They use these suction-cupped feet not just to move about...but to...eh... grab hold of dinner guests as well. Finally, it should be noted that when a sea star loses an arm, it can grow it back. More impressive yes, a served sea star arm...can sometimes grow an entire sea star body back!",I got a sea star! Maybe it'll give me an autograph!,0.0,Pet,None,None,Fluorescent,Hitode
26,6.0,sea urchin,1700.0,Small,0.0,2–7,1x1,No,"Ah, the sea urchin...the unabashed goth of the ocean floor! Indeed, with its mane of dark-hued spikes, it looks for all the world as if it might front a punk-rock band. Perhaps its more demure relatives—the sea cucumber and the sea star—disapprove of its outlandish look? It would certainly explain why sea stars gobble up sea urchins every chance they get! But worry not for our spiky friend. Its venomous spines are an effective deterrent to many a predator.",I got a sea urchin! Wasn't even 'earchin for it.,0.0,Pet,None,None,No lighting,Uni
27,1.0,seaweed,600.0,Large,0.0,3–14,1x1,No,"Let it be known that seaweed is a misnomer of the highest order! That is, it is not a noxious weed so much as it is a marine algae most beneficial to life on land and sea. Seaweed, you see, provides essential habitat and food for all manner of marine creatures. And it creates a great deal of the oxygen we land lovers love to breath too, hoo! And yet, I can't help but shudder when the slimy stuff touches my toes during a swim. Hoot! The horror!",I got some seaweed! I couldn't kelp myself.,0.0,Pet,None,None,No lighting,Wakame
28,7.0,slate pencil urchin,2000.0,Medium,20.0,3–4,1x1,Yes,"Slate Pencil Urchins are a type of sea urchin topped with thick, rounded spines that resemble sticks of chalk. These urchins' spines protect them not only from predators but from violent waves as well. Found in coral reefs, they're usually bright red, brown, or purple in color. For all those bright colors, one would think the slate pencil urchin to be deadly. But all those pretty colors, it seems, are just a pretty show.",I got a slate pencil urchin! Its handwriting is gorgeous.,0.0,Pet,None,None,Fluorescent,Paipuuni
29,26.0,snow crab,6000.0,Large,40.0,1–3,1x1,No,"The snow crab truly lives up to its name, wot wot. They are most often found in cold northern seas. Some have even been discovered living in the Arctic Ocean! Indeed, snow crab prefer to live in deep water that never gets more than three degrees above freezing. Hooooo. Just thinking about their icy environs is giving me the chills!",I got a snow crab! It's giving me the cold shoulder.,0.0,Pet,None,None,No lighting,Zuwaigani
30,29.0,spider crab,12000.0,X-Large,80.0,1–2,2x2,No,"Hoooot hooot, I do so hope to not hyperventilate as I regale you with the spider crab's qualities. But I would be remiss if I did not point out that this, the largest crab on earth... looks like a GIANT SPIDER! Arachnophobia aside... this crab is a magnificent creature to be sure. Though they can grow up to 12 feet from claw to claw and weigh up to 40 pounds, they're said to be docile. In fact, these gentle giants love to hide, attaching seaweed and sponges to their shell as camouflage. My feathers, if only I could unsee the SPIDER in the spider crab... I'm sure I'd find it charming as can be.",I got a spider crab! Water bugs can rest easy.,0.0,Pet,None,None,No lighting,Takaashigani
31,33.0,spiny lobster,5000.0,Large,40.0,5,1x1,No,"It is the spiny lobster's lengthy antennae that help set it apart from other lobsters. Those two antennae can grow twice as long as the lobster's own body! And what a clever crustacean it is, having found a way to use those antennae as a means of defense. When the spiny lobster senses danger, it rubs its antennae across its exoskeleton. The horrid screeching sound frightens predators away! If someone scratched nails across a chalkboard in your direction, I daresay you'd run too!",I got a spiny lobster! It's got a lot of backbone!,0.0,Pet,None,None,No lighting,Iseebi
32,38.0,spotted garden eel,1100.0,Small,0.0,6–8,1x1,Yes,"The spotted garden eel is a small eel-shaped fish that loves to burrow in the sandy ocean floor. These silly things are known for popping their heads out of the sand to nibble on plankton drifting by. Some say this makes them look like plants sprouting in a garden...hence the name spotted garden eel. But I think they look more like prairie dogs peeking out of desert hidey-holes. ""Prairie eels"" has a lovely ring, don't you think?",I got a spotted garden eel! Was it un-spotted before I saw it?,0.0,Pet,None,None,Fluorescent,Chinanago
33,31.0,sweet shrimp,1400.0,Small,0.0,3–12,1x1,No,"The sweet shrimp spends the first few years of its life as a male. It then transitions into a female as it ages. Interestingly, it is hardly alone in this type of development cycle. Indeed, a great variety of marine creatures can change their biological sex as they age. Clown fish, some sea star, and sea bass are among them. Hoo hoo, the ocean is full of a great many wonders. Huzzah to that, I say!",I got a sweet shrimp! It's being very considerate.,0.0,Pet,None,None,Fluorescent,Amaebi
34,30.0,tiger prawn,3000.0,Small,20.0,1–4,1x1,Yes,"The tiger prawn is a hearty crustacean found in many places around the world. Named for the stripes on its exoskeleton, it molts out of this shell as it grows in size. If only I could acquire a larger home with such ease! But do you know what I find even more fascinating? The tiger prawn's legs! It has five pairs of swimming legs, five pairs of walking legs, and three pairs of limbs it eats with! How, might I ask, does it not trip over its own 26 feet?",I got a tiger prawn! I ain't lion!,0.0,Pet,None,None,Fluorescent,Kurumaebi
35,16.0,turban shell,1000.0,Small,0.0,2–10,1x1,No,"The turban shell is a sea snail with a rather nifty trick up its sleeve...er, shell. You see, this snail carries a hard, round, button-like ""operculum"" with it wherever it goes. What is an operculum, you ask? Why, it is a trapdoor of sorts! When danger approaches, the snail slips into its shell and pulls this trapdoor closed over the opening. Thus it is locked safe and sound inside. And bravo, I say! Bravo! When trouble comes knocking, just do what the turban shell_xffff_ does. Shut the door and turn out the lights!",I got a turban shell! It's totally TURB...ular!,0.0,Pet,None,None,No lighting,Sazae
36,21.0,umbrella octopus,6000.0,Small,40.0,1–3,1x1,No,"My feathers, could there be a more adorable sea creature than the umbrella octopus? I daresay not! These deep-sea octopuses are on the smallish side and use the cutest ear-like fins to flutter about. Meanwhile, it's the web stretched between their tentacles that gives them their name. Hoo, it's true! With arms stretched wide, they look for all the world like an umbrella! Though surely the last thing the umbrella octopus wants...is to stay dry.",I got an umbrella octopus! Too bad I'm already soaked.,0.0,Pet,None,None,Fluorescent,Mendako
37,22.0,vampire squid,10000.0,Medium,80.0,1,1x1,No,"Beware the vampire squid, I say! This eight-armed deep-sea monster is out to drink your blood! Hoo hoo, ha ha! I only jest! Ahem! The Vampire Squid does, in fact, live deep in the ocean where almost no light pervades. But while it looks like it could nibble on your neck...it nibbles on the bits of dead plankton and algae instead. By all accounts, the vampire squid is a a gentle sort who squirts bioluminecesant goo at foes. Sp, how did it get the eerie official name ""Vampyroteuthis inernalis""? That means ""vampire squid from the heck,"" you see. The problem is that the squid's ""cloak."" Its arms are webbed with velvet-red skin and lined with toothy spikes. Plainly put, this genial squid looks for all the world like a vampire who went for a swim.",I got a vampire squid! A lot was at stake.,0.0,Pet,None,None,Fluorescent,Koumoridako
38,40.0,Venus' flower basket,5000.0,Medium,40.0,1–3,1x1,Yes,"The Venus' flower basket looks like an otherworldly creature one would find on an alien planet. But it is instead a remarkable sea sponge found in the deepest parts of the ocean. Its body is composed of silica and looks like a sculpture or, perhaps, a vase made of glassy mesh. I daresay Venus' flower basket is one of nature's most impressive works of art.",I got a Venus' flower basket! Why was she picking flowers here?,0.0,Pet,None,None,Fluorescent,Kairoudouketsu
39,15.0,whelk,1000.0,Small,0.0,1–8,1x1,Yes,"Whelks are sea snails that migrate from deep water to shallow water when the weather changes. Avid carnivores, they feed on worms, crustaceans, and mollusks. In fact, these wily snails have been known to use their own shells to pry open the shells of their victims! They then use a rough tongue-like organ with thousands of tiny teeth to lick their victims' shells clean. Eh... you might want to put that image out of your mind when it's your turn to dine.",I got a whelk! Happy snails to ya.,0.0,Pet,None,None,Fluorescent,Baigai
0,56.0,anchovy,200.0,Small,0.0,2–5,1x1,No,"There are more than 140 species of anchovy, but they do all have some things in common. They are small and feed by simply swimming with their mouths open to filter food particles from the sea. (In my sleepier moments, I sometimes wish I could do that...)",I caught an anchovy! Stay away from my pizza!,71.0,Pet,Blue,Red,No lighting,Fish81
1,36.0,angelfish,3000.0,Small,20.0,2–5,1x1,Yes,"The angelfish is truly a beautiful creature. Just look at the elegance of those fins!Despite the name, however, these lovelies are known to be rather aggressive. They've no qualms about relentlessly pursuing fish much smaller than themselves! Why, they even attack their own kin! It seems no fish is safe around these ""angelic"" bullies. It makes one wonder who comes up with these names. Appearances— and names— can be deceiving.",I caught an angelfish! That other fish told me to do it!,71.0,Pet,Yellow,Black,Fluorescent,Fish30
2,44.0,arapaima,10000.0,XX-Large,50.0,1,3x2,No,"The stately arapaima is quite large. Indeed, it is among the largest freshwater fish there are. Furthermore, these fascinating fish make quite the family unit. That is to say, male arapaimas protect their young by holding them gently in their mouths. Meanwhile, female arapaimas swim circles around these full-mouthed fathers fending off predators. It simply goes to show that cold-blooded creatures can be heartwarming too.",I caught an arapaima! How did it get here? Arapaiknow!,71.0,Pet,Black,Blue,No lighting,Fish36
3,41.0,arowana,10000.0,Large,50.0,1–2,2x1,Yes,"It would seem your angling expertise knows no bounds! This beauteous arowana fetches a pretty Bell, though I'd venture to say that its true price is beyond measure. The arowana has been on the endangered-species list for some time. It's up to us to remain educated and do all we can to help preserve such magnificent creatures. Not to worry, old bean. This lovely fishy friend is in good wings here! On behalf of the museum, I thank you warmly for your unending generosity!","I caught an arowana! I'd make a joke, but I don't 'wana.",71.0,Pet,Yellow,Black,Fluorescent,Fish33
4,58.0,barred knifejaw,5000.0,Medium,20.0,3–5,1x1,Yes,"Wonderful! I would love nothing more! The barred knifejaw, also called the striped beakfish, is a lovely fish with a distinctive striped pattern. It is reportedly also a very curious fish in that it has been known to approach swimmers to ""greet"" them. They also tend to be good at avoiding fishing hooks, so well done on outwitting this one!",I caught a barred knifejaw! They must have a hard time eating!,71.0,Pet,White,Black,Fluorescent,Fish47
5,79.0,barreleye,15000.0,Small,100.0,1,1x1,No,"The barreleye is a deep-sea fish with protuberant eyes and a clear head, so some of its organs are... visible. At first blush, a transparent head seems absurd, but there is a reason: so it can see things directly above! But I must confess - the more I learn about deep-sea fish, the happier I am to live on dry land, wot.",I caught a barreleye! Like eyeing fish in a barrel!,71.0,Pet,Black,Black,Fluorescent,Fish84
6,37.0,betta,2500.0,Small,20.0,1–4,1x1,No,"The betta has long fins and beautiful coloring. It is a tropical fish popular in decorative aquariums. They're very territorial and will fight to complete exhaustion, so aquarists must keep them carefully. Rarely do such beauty and violence commingle outside the rowdiest of sunset-viewing parties.",I caught a betta! I betta not drop it!,71.0,Pet,Light blue,Black,Fluorescent,Fish77
7,1.0,bitterling,900.0,X-Small,0.0,12–17,1x1,No,"Bitterlings hide their eggs inside large bivalves—like clams—where the young can stay safe until grown. The bitterling isn't being sneaky. No, their young help keep the bivalve healthy by eating invading parasites! It's a wonderful bit of evolutionary deal making, don't you think? Each one keeping the other safe... Though eating parasites does not sound like a happy childhood... Is that why the fish is so bitter?","I caught a bitterling! It's mad at me, but only a little.",71.0,Pet,Light blue,Blue,No lighting,Fish0
8,22.0,black bass,400.0,Large,0.0,4–12,1x1,Yes,"The black bass is a formidably strong fish and, as such, is a common target for sport anglers. In some areas, there are even those who professionally catch just black bass! Yet in other areas where they are NOT native, they are considered an ecological nuisance. Invasive, even. One cannot help but wonder who is to blame for their invasion, hoo.",I caught a black bass! The most metal of all fish!,71.0,Pet,Green,Black,Fluorescent,Fish19
9,54.0,blowfish,5000.0,Medium,20.0,5,1x1,Yes,"As you may know, blowfish carry a deadly poison and are among the most toxic creatures on earth. What you may not have known is that poison and spines are not the limit of this animal's defenses! A predator that tries to swallow a blowfish before it inflates can find itself quickly choking. To be honest, if said predator can get past poison, spines, AND choking hazards, I feel they've earned a meal.",I caught a blowfish! I'm blown away!,71.0,Pet,Beige,Black,Fluorescent,Fish73
10,67.0,blue marlin,10000.0,XX-Large,50.0,1–2,2x1,Yes,"The blue marlin has a distinctive angular shape and no scales. It is an unusual relative of the tuna. These mighty fish can exceed 13 feet from bill to tail. Some accounts even have it fighting with whales! No wonder it's a popular target for sport fishing: unlike most fish, it seems like a worthy opponent.",I caught a blue marlin! Listen to this fish. it's got a point.,71.0,Pet,Blue,Black,Fluorescent,Fish58
11,20.0,bluegill,180.0,Small,0.0,6–10,1x1,No,"The bluegill is incredibly common. A bit too common, depending upon where you are. They eat anything that fits in their mouths and are highly adaptable. The bane of fishermen in some areas, bluegill is often the only fish to be caught! But looking in its wee beady eyes, I must say I see no ill will in it...","I caught a bluegill! Do you think it calls me ""pinklung""?",71.0,Pet,Blue,Black,No lighting,Fish17
12,51.0,butterfly fish,1000.0,Small,0.0,4–5,1x1,No,"Ah, the butterfly fish is just charming with its beautiful colors and elegant movements. I refer to it as a butterfly fish, but it's actually a grouping in which there are over 100 types! These beautiful aquatic friends swim in schools amid coral, fluttering back and forth with the tides. The sheer awe one must experience when witnessing such a sight. It must be a dream! So much better than actual butterflies...",I caught a butterfly fish! Did it change from a caterpillar fish?,71.0,Pet,Yellow,Black,Fluorescent,Fish42
13,5.0,carp,300.0,Large,0.0,3–9,1x1,Yes,"Oh, the carp... have you ever seen their teeth? For your sake, I hope you have not! Carp have teeth in their throat strong enough to crunch on hard things like shells and fingers! A good rule of thumb when dealing with other species is to keep your fingers out of their mouths. Although, having neither thumbs nor fingers, I am quite safe from this little fellow!",I caught a carp! If I catch another they can carpool!,71.0,Pet,Gray,Black,Fluorescent,Fish5
14,18.0,catfish,800.0,Large,0.0,6–8,1x1,Yes,"Catfish don't have scales and are rather slimy. Believe it or not, this slime helps them breathe! Some species of catfish are nocturnal, and they'll feed on almost anything. They use a suctioning action to pull in their food. Did I mention they can grow as large as you or I?",I caught a catfish! I'm more of a dogfish person...,71.0,Pet,Black,Black,Fluorescent,Fish14
15,28.0,char,3800.0,Medium,20.0,1–4,1x1,Yes,"The char is one of the bigger first around the world, and, in the world of fish, that's quite an accomplishment! They are territorial predators, and therefore must constantly defend their 'turf' from others. So when you see a large char like this one, it is likely a skilled fighter and veteran of many battles. My feathers! I hope it never has cause to go into battle with me!",I caught a char! Now I'm gonna sit on it!,71.0,Pet,Brown,Black,Fluorescent,Fish24
16,27.0,cherry salmon,1000.0,Medium,0.0,3–9,1x1,Yes,"The cherry salmon is related to the salmon, and is known for its distinctive pattern of ""polka dots"". There polka dots disappear as they mature, but ONLY in the first of certain geographic regions. Pity the poor researchers that must make sense of the cherry salmon's fickle fashion sense.",I caught a cherry salmon! It's the perfect topper for a marlin sundae!,71.0,Pet,Brown,Black,Fluorescent,Fish23
17,49.0,clown fish,650.0,X-Small,0.0,5–6,1x1,No,"Few can deny the delightful qualities of the clown fish. These vibrant fishes make their home among venomous anemones. It's a mutually beneficial arrangement. The clown fish finds safety in the anemone's wriggling arms, as well as leftover scraps of food. In return, clown fish ward off parasites and predators for the anemone. Thus these colorful fish remind us of the importance of maintaining good cheer among our roommates.",I caught a clown fish! How many can fit in a carfish?,71.0,Pet,Orange,Black,Fluorescent,Fish40
